[%],;[%],_1;[W]
18;5;92,67
18;5;107,11
18;5;123,38
18;5;135,65
18;5;135,99
18;5;123,37
18;5;135,76
18;5;135,94
18;5;135,66
99;27;135,4
99;27;136,04
99;27;135,6
99;27;135,74
99;27;135,91
99;27;135,69
99;27;135,45
99;27;135,88
99;27;135,69
99;27;135,8
99;27;135,63
99;27;135,99
99;27;135,69
99;27;135,78
99;27;136
99;27;135,83
99;27;135,57
99;27;136,07
99;27;136,05
99;27;135,55
99;27;135,9
99;27;136,17
99;27;135,6
99;27;136,09
99;27;136,08
99;27;135,65
99;27;135,64
99;27;135,89
99;27;135,93
99;27;135,6
99;27;136,06
99;27;123,23
99;27;135,7
99;27;135,6
99;27;123,32
99;27;135,59
99;27;135,69
99;27;123,31
99;27;135,41
99;27;135,48
99;27;135,52
99;27;135,58
99;27;135,72
99;27;135,71
99;27;123,29
99;27;135,62
99;27;135,85
99;27;123,39
99;27;135,49
99;27;135,79
99;27;123,34
99;27;135,68
99;27;135,63
99;27;135,44
99;27;89,13
83;23;74,32
83;23;74,15
83;23;74,15
83;23;74,16
83;23;74,17
83;23;74,15
83;23;74,16
83;23;74,18
83;23;74,21
;;
87,04109589;23,79452055;125,1734247
