[%],;[%],_1;[W]
65;14;106,07
65;14;105,7
65;14;105,89
65;14;105,85
65;14;105,81
65;14;105,79
65;14;105,96
65;14;105,89
65;14;105,91
100;21;105,76
100;21;105,88
100;21;105,79
100;21;105,82
100;21;105,83
100;21;105,74
100;21;105,76
100;21;105,99
100;21;106,1
100;21;105,88
100;21;105,96
100;21;105,76
100;21;105,85
100;21;105,95
100;21;105,95
100;21;105,84
100;21;105,87
100;21;105,79
100;21;105,78
100;21;105,86
100;21;105,86
100;21;105,78
100;21;105,81
100;21;105,83
100;21;105,93
100;21;105,88
100;21;105,86
100;21;105,85
100;21;105,93
100;21;105,9
100;21;105,89
100;21;105,76
100;21;105,69
100;21;105,8
100;21;105,75
100;21;105,89
100;21;105,65
96;20;88,29
96;20;74,24
96;20;74,19
96;20;74,18
96;20;74,14
96;20;74,2
96;20;74,15
96;20;74,18
96;20;74,15
;;
93,61818182;19,69090909;100,9238182
