[%],;[%],_1;[W]
24;2;75,16
24;2;89,17
24;2;89,23
24;2;89,3
24;2;89,13
24;2;89,21
24;2;89,26
24;2;89,34
24;2;89,38
99;8;89,38
99;8;89,4
99;8;89,36
99;8;89,45
99;8;89,4
99;8;89,39
99;8;89,36
99;8;89,52
99;8;89,48
99;8;89,46
99;8;89,36
99;8;89,43
99;8;89,49
99;8;89,31
99;8;89,42
99;8;89,29
99;8;89,2
99;8;89,29
99;8;89,51
99;8;89,37
99;8;89,42
99;8;89,38
99;8;89,34
99;8;89,37
99;8;89,42
99;8;89,53
99;8;89,35
99;8;89,61
99;8;89,49
99;8;89,59
99;8;89,44
99;8;89,36
99;8;89,46
99;8;89,6
99;8;89,65
99;8;89,62
99;8;89,43
99;8;89,54
99;8;89,49
99;8;89,48
99;8;89,46
99;8;89,35
99;8;89,5
99;8;89,56
99;8;89,65
99;8;89,64
99;8;89,61
99;8;89,48
99;8;89,55
99;8;89,61
99;8;89,54
99;8;89,52
99;8;89,54
99;8;89,66
99;8;89,57
99;8;89,45
99;8;89,7
99;8;89,58
99;8;89,57
99;8;89,55
99;8;89,56
99;8;89,67
99;8;89,57
99;8;89,53
99;8;89,74
99;8;89,65
99;8;89,63
99;8;89,58
99;8;89,48
99;8;89,64
99;8;89,62
99;8;89,68
99;8;89,62
99;8;89,59
99;8;89,56
99;8;89,52
99;8;89,39
99;8;89,37
99;8;89,5
99;8;89,44
99;8;89,42
99;8;89,56
99;8;89,45
99;8;89,36
99;8;89,39
99;8;89,52
99;8;89,56
99;8;89,52
99;8;89,51
99;8;89,38
99;8;89,5
99;8;89,4
99;8;89,4
99;8;89,31
99;8;89,36
99;8;89,42
99;8;89,5
99;8;89,35
99;8;89,36
99;8;89,25
99;8;89,4
99;8;89,59
99;8;89,51
99;8;89,35
99;8;89,43
99;8;89,43
99;8;89,39
99;8;89,57
99;8;89,32
99;9;89,57
99;9;89,48
99;9;89,25
99;9;89,59
99;9;89,5
99;9;89,54
99;9;89,57
99;9;89,43
99;9;89,3
99;9;89,56
99;8;89,47
99;8;89,52
99;8;89,28
99;8;74,22
99;8;74,2
99;8;74,14
99;8;74,19
99;8;74,13
99;8;74,15
25;2;74,12
25;2;74,12
25;2;74,11
25;2;74,13
25;2;74,15
25;2;74,12
25;2;74,07
25;2;74,07
25;2;74,09
;;
89,81506849;7,328767123;87,7919863
