Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
18;22,1;58,138
26,5;26,8;63,665
11,8;17,7;57,911
18,8;14,9;52,529
14,2;17,1;57,432
98,9;111,5;84,195
98,9;111,5;84,195
100;111,4;88,259
100;111,4;87,36
100;111,3;88,231
100;111,4;87,004
100;111,4;87,004
100;111,2;87,477
100;111,2;87,477
100;111,3;87,597
100;111,3;87,597
100;111,2;88,936
100;111,3;86,784
100;111,2;87,882
100;111,4;87,414
100;111,4;86,814
100;111,4;86,814
100;111,4;87,278
100;111,3;87,18
100;111,3;87,18
100;111,2;87,087
100;111,2;87,087
100;111,3;87,001
100;111,4;87,189
100;111,2;87,455
100;111,2;87,455
100;111,2;87,352
100;111,4;87,093
100;111,3;88,169
100;111,5;86,45
100;111,5;86,45
100;111,3;87,521
55,9;65,3;81,083
4,1;6,1;42,408
3,3;4,7;40,734
;;
87,97368421;98,06315789;83,15118421
