Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,4;12,1;52,312
9,5;11,6;51,365
26,8;32,9;51,365
26,8;32,9;51,583
100;113,7;86,301
100;112,4;84,065
100;112,4;84,065
100;112,4;84,754
39,5;43,7;70,508
5;5,6;40,887
;;
70,44285714;80,05714286;73,23442857
