Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
8,5;11,9;51,624
10,6;13;52,354
18,6;12,7;52,817
10,4;12,3;52,753
10,4;12,3;52,753
45,4;54,5;56,47
100;114,3;76,07
100;113,6;75,097
100;113,6;73,041
100;113,2;71,539
100;113,2;71,871
100;113;72,611
100;113,2;70,866
100;113;73,029
100;113,3;71,969
62,4;68,9;76,37
11,4;11;44,729
8,2;14,8;53,457
;;
66,825;75,31875;65,2711875
