[%],;[%],_1;[W]
0;0;74,06
0;0;75,29
36;3;89,21
36;3;89,24
36;3;89,25
36;3;89,26
36;3;89,44
36;3;88,93
36;3;89,14
36;3;89,1
36;3;89,15
36;3;89,05
99;8;89,15
99;8;89,15
99;8;89,32
99;8;89,11
99;8;89,26
99;8;89,23
99;8;89,22
99;8;89,32
99;8;89,24
99;8;89,38
99;8;89,26
99;8;89,1
99;8;89,08
99;8;89,15
99;8;89,06
99;8;89,18
99;8;89,44
99;8;89,1
99;8;89,03
99;8;89,05
99;8;89,19
99;8;89,18
99;8;89,27
99;8;89,03
99;8;89,12
99;8;89,03
99;8;89,16
99;8;89,17
99;8;89,14
99;8;89,04
99;8;89,02
99;8;89,28
99;8;89,25
99;8;89,08
99;8;89
99;8;89,13
99;8;89,07
99;8;89,07
99;8;89,06
99;8;89,03
99;8;89,05
99;8;88,96
99;8;88,92
99;8;89,03
99;8;89,01
99;8;89,04
99;8;89,06
99;8;88,95
99;8;89,03
99;8;89
99;8;89,05
99;8;89,06
99;8;89,06
99;8;89,16
93;8;87,44
93;8;74,3
93;8;74,23
93;8;74,19
93;8;74,23
93;8;74,2
93;8;74,19
93;8;74,2
93;8;74,17
0;0;74,2
0;0;74,2
0;0;74,18
0;0;74,18
0;0;74,2
0;0;74,19
0;0;74,21
0;0;74,21
0;0;73,75
;;
89,63013699;7,315068493;85,73952381
