[%],;[%],_1;[W]
3;1;74,51
3;1;74,8
3;1;88,93
3;1;89,48
3;1;89,59
3;1;89,57
3;1;89,66
3;1;89,55
99;8;89,65
99;8;89,29
99;8;89,32
99;8;89,31
99;8;89,46
99;8;89,35
99;8;89,39
99;8;89,43
99;8;89,32
99;8;89,49
99;8;89,4
99;8;89,32
99;8;89,38
99;8;89,34
99;8;89,41
99;8;89,6
99;8;89,4
99;8;89,34
99;8;89,39
99;8;89,3
99;8;89,53
99;8;89,4
99;8;89,47
99;8;89,35
99;8;89,49
99;8;89,42
99;8;89,38
99;8;89,44
99;8;89,38
99;8;89,39
99;8;89,25
99;8;89,25
99;8;89,26
99;8;89,26
99;8;89,32
99;8;89,32
99;8;89,42
99;8;89,41
99;8;89,45
99;8;89,51
99;8;89,42
99;8;89,27
99;8;89,29
99;8;89,49
99;8;89,52
99;8;89,38
99;8;89,3
99;8;89,26
99;8;89,23
99;8;89,24
99;8;89,44
99;8;89,33
99;8;89,41
99;8;89,37
99;8;89,64
99;8;89,53
99;8;89,54
99;8;89,33
99;8;74,3
99;8;74,16
99;8;74,13
99;8;74,14
99;8;74,1
99;8;74,11
26;3;74,11
26;3;74,13
26;3;74,07
26;3;74,07
26;3;74,07
26;3;74,1
26;3;74,06
26;3;74,1
26;3;74,14
0;0;74,06
0;0;74,23
0;0;74,08
;;
;;
81,40740741;6,75308642;85,77178571
