Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,9;12,4;50,603
87,4;102,2;75,391
87,4;102,2;75,391
100;112,5;84,21
100;112,5;84,21
100;112,4;82,011
100;112,4;83,237
100;111,9;82,151
100;112,9;83,474
100;112,4;82,321
100;112,4;81,928
100;112,4;82,739
100;112,4;82,148
100;112,5;83,25
100;112,4;81,783
100;112,4;84,333
100;112,4;81,996
100;112,4;82,325
100;112,4;82,743
100;112,4;81,503
100;112,2;83,21
100;112,2;83,21
100;112,5;81,918
100;112,3;82,35
100;112,4;82,766
100;112,2;82,529
100;112,4;82,369
100;112,2;83,204
100;112,3;81,7
100;112,2;83,311
100;112,2;82,082
100;112;82,815
100;112,1;81,941
100;112,2;81,804
100;112,2;82,43
100;112,1;82,881
100;112,2;82,392
100;112,2;82,392
100;112,1;84,43
100;112;82,239
100;111,9;82,219
100;112,1;81,897
100;112,1;82,725
100;112,1;82,487
100;112;82,153
100;111,9;82,123
100;112;82,589
100;112,2;82,454
100;112;81,26
100;112;83,12
100;111,9;83,497
100;112,1;81,221
100;112,1;81,221
100;111,9;83,808
100;111,9;81,61
100;112,3;83,88
100;111,9;82,946
100;112;81,032
100;112;82,648
100;112;81,651
100;112,1;82,154
100;112;82,727
100;111,9;82,03
100;112;82,242
100;112,1;81,857
100;111,9;83,19
100;111,9;83,359
100;111,9;81,261
100;112,1;82,788
100;112,1;82,788
100;112;82,214
100;112;82,339
100;111,9;81,231
99,9;111,7;84,422
22,9;26,2;60,023
5,1;5,8;41,026
;;
98,61621622;110,7283784;82,03085135
