Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,9;12,2;52,88
12,2;11,9;52,669
12,2;11,9;52,669
66,3;78,3;68,058
100;112,4;91,062
100;112;90,04
100;111,3;87,549
100;111,7;87,752
100;111,4;86,921
100;111,5;87,544
100;111,3;87,169
100;111,3;87,685
100;111,3;87,399
100;111,4;87,169
100;111,4;87,169
100;111,3;87,657
100;111,3;87,657
100;111,3;87,678
100;111,3;87,425
100;111,3;87,425
100;111,3;87,431
100;111,3;87,431
100;111,4;86,88
100;110,9;86,88
100;112;87,634
100;111,3;87,985
100;111,3;87,985
100;111,4;87,072
100;111,2;87,947
100;111,2;87,947
100;111,1;87,399
100;111,4;87,406
100;111,2;88,606
100;111,2;87,369
100;111,5;87,303
100;111,2;87,931
100;111,3;87,959
100;111,3;87,959
100;111,1;86,788
100;111,3;87,578
100;111,4;87,448
100;111,1;86,933
100;111,3;87,335
100;111,3;87,335
100;111,2;87,991
100;111,2;87,991
100;111,2;87,535
100;111,3;87,805
100;111,3;87,805
100;111,4;88,904
100;111,2;87,311
100;111,4;87,944
100;111,4;87,944
100;111,1;87,618
100;111,2;87,742
100;111,3;88,021
100;111,1;86,449
100;111,2;88,342
100;111,2;86,358
100;111,2;87,312
100;111,2;87,22
100;111,2;87,22
100;111,3;88,286
100;111,2;87,197
99,9;111,6;88,436
8,9;10,5;56,573
;;
99,45483871;110,7935484;87,34404839
