Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,8;12,8;51,621
16,8;21,9;56,505
46,1;51,9;58,453
100;113,5;87,191
100;112,7;84,756
100;112,3;84,14
100;112,3;82,249
100;112,3;83,721
100;112,1;83,027
100;112,1;82,813
100;112,1;83,534
100;112,1;82,825
100;112,2;84,319
8,5;22;64,083
14,8;6,7;39,949
;;
88,575;99,79166667;79,46108333
