Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
11;12,9;52,923
9,7;11,7;52,785
9,6;12,6;55,198
10,7;12,7;54,664
11,9;15,4;55,26
9;12;54,706
11,7;14,2;54,896
10,7;12,1;53,49
11,7;13,8;53,965
15,5;12,9;53,171
9,7;12,7;53,905
11,4;12,5;53,519
10,8;12,8;53,685
21,2;16,5;56,919
10,2;12,9;53,442
10,3;13;54,86
11,4;13,1;54,75
61,7;73,2;60,83
61,7;73,2;60,83
100;114,3;74,589
100;113,7;73,828
100;113,3;71,766
100;113,2;72,014
100;113,1;73,854
100;113,2;71,022
100;113,2;71,881
100;113,2;71,82
100;113,2;71,108
100;112,8;74,586
100;112,9;74,32
100;113,1;72,181
100;113,1;70,755
100;113,1;73,119
100;113,1;72,341
100;113;72,095
100;112,9;72,912
100;113,1;71,79
100;113,2;71,752
100;113;72,126
77,3;88,5;79,785
4,3;6,3;45,184
5,8;6,7;44,744
4,3;5,5;43,763
3,9;4,7;41,209
8,9;5,8;43,363
;;
68,68529412;77,79705882;66,11488235
