Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,6;12,7;51,385
10,5;12,5;51,166
11;13,2;51,976
36,1;41,7;56,268
90;101,5;89,32
7,4;8,3;48,317
4,3;4,9;44,833
;;
31,44;36,32;60,023
