Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
12,5;14,5;56,481
16,4;18,4;61,068
33,3;38,8;65,367
9,7;11,3;46,128
5,1;6,8;48,91
5,2;5,5;41,919
3,9;5,6;41,54
13,7;8,2;43,672
6,8;8,4;43,305
9,1;11,7;50,315
19,4;20,4;55,269
12,1;15,8;55,583
12,8;14,2;53,77
16,1;18,6;55,831
10,8;14;55,598
27,3;23,1;55,647
100;114,8;76,391
100;113,9;77,079
58,2;69,5;77,027
6,3;6,5;41,488
2,2;5,1;42,283
9,8;9,6;44,155
8,6;9,5;46,968
4,2;4,6;41,038
3,6;4,4;40,569
13,3;7,9;43,922
6,5;8,7;46,961
7,9;9,3;47,79
5,6;6,7;43,843
6,2;8,5;47,635
10,4;12;47,928
4,9;6;45,171
6,8;7,4;44,411
5,9;9;48,042
5,1;6,2;43,636
9,4;7,3;45,195
14,3;9,6;40,718
;;
39,63333333;44,92222222;62,46611111
