Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
3;4,8;41,278
4,7;5,3;42,315
5,4;5,8;42,215
11;14;51,954
28,4;31,1;54,265
21,7;29,2;69,609
12,9;15,1;53,357
10,8;13,9;54,941
12,4;15,8;54,365
99,7;114,8;73,111
100;114;76,269
44,1;56,1;72,494
5,9;5,3;40,695
5,8;5,2;40,411
5,4;6,6;44,773
;;
41,25;48,75;63,551375
